@relation unbalanced

@attribute WBN_GC_L_0.25 numeric
@attribute WBN_GC_H_0.25 numeric
@attribute WBN_GC_L_0.50 numeric
@attribute WBN_GC_H_0.50 numeric
@attribute WBN_GC_L_0.75 numeric
@attribute WBN_GC_H_0.75 numeric
@attribute WBN_GC_L_1.00 numeric
@attribute WBN_GC_H_1.00 numeric
@attribute WBN_EN_L_0.25 numeric
@attribute WBN_EN_H_0.25 numeric
@attribute WBN_EN_L_0.50 numeric
@attribute WBN_EN_H_0.50 numeric
@attribute WBN_EN_L_0.75 numeric
@attribute WBN_EN_H_0.75 numeric
@attribute WBN_EN_L_1.00 numeric
@attribute WBN_EN_H_1.00 numeric
@attribute WBN_LP_L_0.25 numeric
@attribute WBN_LP_H_0.25 numeric
@attribute WBN_LP_L_0.50 numeric
@attribute WBN_LP_H_0.50 numeric
@attribute WBN_LP_L_0.75 numeric
@attribute WBN_LP_H_0.75 numeric
@attribute WBN_LP_L_1.00 numeric
@attribute WBN_LP_H_1.00 numeric
@attribute XLogP numeric
@attribute PSA numeric
@attribute NumRot numeric
@attribute NumHBA numeric
@attribute NumHBD numeric
@attribute MW numeric
@attribute BBB numeric
@attribute BadGroup numeric
@attribute Outcome {Active,Inactive}

@data
-1.8027,1.4023,-1.9475,1.945,-2.7104,2.8119,-3.56,3.7003,-0.8059,1.5357,-1.6269,2.368,-2.4606,3.2275,-3.3048,4.1011,-1.0866,1.1332,-1.9173,1.9845,-2.7651,2.8535,-3.6219,3.7339,2.141,96.12,9,7,2,451.633,0,0,Inactive
-1.8084,1.4019,-1.9591,2.0024,-2.6887,2.8499,-3.5225,3.7148,-0.7638,2.3346,-1.5518,2.4663,-2.3602,3.2222,-3.1846,4.0866,-1.0863,1.1134,-1.9149,1.9334,-2.7583,2.7759,-3.609,3.6338,1.706,92.88,10,6,2,386.489,0,0,Inactive
-2.2179,2.1767,-2.347,2.2981,-2.5842,2.9413,-3.2676,3.7558,-0.7836,1.2201,-1.5811,1.9077,-2.3834,2.7185,-3.1879,3.5596,-0.9911,1.1314,-1.5938,1.9269,-2.3419,2.7663,-3.1312,3.6156,6.673,63.08,7,5,2,473.411,1,1,Inactive
-2.3921,1.4729,-2.5191,2.1333,-2.7612,3.0141,-3.3753,3.922,-0.7618,1.3125,-1.5578,2.1216,-2.3743,3.0149,-3.1993,3.928,-0.9295,1.1474,-1.6728,2.0249,-2.4731,2.9379,-3.2916,3.8587,4.534,90.04,9,5,0,467.639,0,0,Inactive
-2.4013,2.4871,-2.5332,2.8869,-2.7946,3.4762,-3.2802,4.1954,-0.8018,1.5213,-1.6138,2.2268,-2.4299,2.9997,-3.2482,3.8216,-1.0189,1.0438,-1.7494,1.8931,-2.5333,2.7629,-3.333,3.6405,2.767,89.27,6,9,1,461.522,0,0,Inactive
-2.4011,2.4906,-2.5331,2.9375,-2.7905,3.6125,-3.2497,4.3825,-0.7828,2.4014,-1.5794,2.6748,-2.3817,3.137,-3.1873,3.8691,-1.0363,1.0085,-1.7842,1.8172,-2.5727,2.6512,-3.3711,3.4976,1.583,97.11,7,9,1,399.329,0,1,Inactive
-2.384,2.3996,-2.5266,2.8831,-2.809,3.5852,-3.276,4.3714,-0.7881,2.4014,-1.5937,2.6746,-2.4055,3.1235,-3.2203,3.8353,-1.0455,0.9935,-1.8009,1.7967,-2.5923,2.6389,-3.3944,3.4952,0.749,93.98,8,9,1,428.367,0,1,Inactive
-2.2634,2.3733,-2.3831,2.7939,-2.6263,3.4254,-3.075,4.1685,-0.7778,1.3611,-1.5652,2.0848,-2.3574,2.8765,-3.1527,3.6951,-1.0339,1.147,-1.7748,1.9275,-2.5522,2.7347,-3.3392,3.5536,2.461,66.29,6,6,1,391.269,1,2,Inactive
-2.401,2.8192,-2.5339,3.3478,-2.7978,3.9921,-3.2488,4.7029,-0.7829,2.4014,-1.5793,2.6763,-2.3812,3.1321,-3.1863,3.8417,-1.0368,1.0298,-1.7858,1.8295,-2.5704,2.6621,-3.3652,3.5103,2.164,75.52,5,7,1,436.434,0,1,Inactive
-2.387,2.8192,-2.5276,3.3478,-2.7954,3.9923,-3.2512,4.7037,-0.7841,2.4014,-1.5828,2.6762,-2.3872,3.132,-3.1949,3.8429,-1.0384,1.0291,-1.7885,1.8253,-2.5751,2.6579,-3.3722,3.5071,1.741,75.52,4,7,1,422.407,0,1,Inactive
-2.396,2.3731,-2.5234,2.7895,-2.7608,3.406,-3.2108,4.1368,-0.7841,1.3607,-1.5818,2.0851,-2.3849,2.8819,-3.1908,3.7087,-1.034,1.1131,-1.7779,1.8975,-2.5602,2.7208,-3.353,3.5573,1.957,66.29,2,6,1,403.28,1,2,Inactive
-1.5729,2.4851,-1.8952,2.8836,-2.3814,3.4707,-3.0173,4.18,-0.7767,2.3346,-1.5649,2.4644,-2.3599,2.9966,-3.1593,3.7919,-1.0239,1.1067,-1.7603,1.909,-2.5431,2.7254,-3.3364,3.5532,1.618,69.42,1,6,1,313.336,1,1,Inactive
-1.5729,2.3731,-1.8953,2.7892,-2.3824,3.4045,-3.0252,4.1322,-0.7759,2.3346,-1.5623,2.4616,-2.3553,2.9009,-3.1525,3.7088,-1.0339,1.1064,-1.7775,1.9063,-2.559,2.7189,-3.3505,3.5425,1.405,57.06,1,5,1,312.348,0,1,Inactive
-2.3997,2.3731,-2.5277,2.7897,-2.7657,3.407,-3.2063,4.1384,-0.779,1.3605,-1.5695,2.0841,-2.3659,2.8786,-3.1659,3.7021,-1.0353,1.0588,-1.7801,1.8476,-2.5635,2.662,-3.3571,3.4918,1.159,66.29,2,6,1,324.384,0,1,Inactive
-1.4862,1.4328,-1.8648,2.0834,-2.4363,2.8964,-3.1528,3.7369,-0.7793,1.5211,-1.564,2.1943,-2.3603,2.9377,-3.1631,3.7428,-0.8629,1.4317,-1.5872,2.0261,-2.3756,2.8141,-3.1777,3.6532,4.645,66.48,5,7,1,403.438,1,1,Inactive
-1.4862,1.4331,-1.8649,2.0868,-2.4362,2.9023,-3.1368,3.7447,-0.7693,2.3347,-1.5582,2.4629,-2.3563,2.9528,-3.1592,3.7533,-0.8629,1.4318,-1.5868,2.0262,-2.3748,2.8136,-3.1766,3.652,4.527,66.48,6,7,1,421.428,1,1,Inactive
-1.4862,1.4329,-1.8648,2.085,-2.4361,2.8999,-3.1388,3.7423,-0.7726,1.5212,-1.5612,2.1947,-2.3597,2.9391,-3.1631,3.7456,-0.8629,1.4318,-1.5872,2.0282,-2.3757,2.8203,-3.1778,3.6605,4.83,66.48,5,7,1,423.856,1,1,Inactive
-1.4862,1.4333,-1.8649,2.0887,-2.4362,2.9088,-3.155,3.7582,-0.7848,1.5214,-1.5698,2.1968,-2.3575,2.948,-3.1592,3.765,-0.8629,1.4322,-1.5867,2.0404,-2.3748,2.855,-3.1765,3.7112,6.214,66.48,8,7,1,493.563,1,1,Inactive
-2.3987,1.403,-2.5265,2.0108,-2.7638,2.8573,-3.5249,3.723,-0.7662,1.5356,-1.5564,2.3662,-2.3655,3.2211,-3.1899,4.0877,-1.0864,1.0705,-1.9153,1.8897,-2.7594,2.7389,-3.6108,3.6039,1.27,113.19,11,8,2,451.589,0,0,Inactive
-1.4767,1.4013,-1.8811,1.9591,-2.6905,2.8101,-3.5259,3.68,-0.7671,1.5352,-1.5583,2.365,-2.3681,3.2189,-3.1929,4.0844,-1.0863,1.1313,-1.9149,1.9468,-2.7583,2.7881,-3.6089,3.6456,4.965,83.65,7,5,2,441.037,0,0,Inactive
-1.4773,1.4388,-1.8809,1.9851,-2.6901,2.8254,-3.5251,3.694,-0.7663,1.5354,-1.5569,2.3655,-2.3666,3.22,-3.1914,4.0861,-1.0864,1.0664,-1.9154,1.884,-2.7595,2.7332,-3.611,3.5986,1.981,112.75,11,7,3,409.552,0,0,Inactive
-1.63,1.4391,-1.928,1.9933,-2.6901,2.839,-3.5252,3.7133,-0.7663,1.5359,-1.5569,2.3675,-2.3666,3.2245,-3.1914,4.0941,-1.0864,1.0975,-1.9154,1.9154,-2.7595,2.7704,-3.611,3.6413,3.01,115.99,13,8,3,500.665,0,0,Inactive
-1.4773,1.439,-1.8809,1.9916,-2.6901,2.837,-3.5252,3.7112,-0.7799,1.5357,-1.5598,2.3669,-2.3666,3.2235,-3.1914,4.0926,-1.0864,1.1185,-1.9154,1.9417,-2.7595,2.791,-3.611,3.658,2.936,112.75,11,7,3,471.623,0,0,Inactive
-1.4769,1.4391,-1.8809,1.9943,-2.6901,2.8402,-3.5252,3.7148,-0.7701,1.5357,-1.5569,2.3669,-2.3666,3.2235,-3.1914,4.0926,-1.0864,1.1313,-1.9154,1.9469,-2.7595,2.7932,-3.611,3.6589,2.963,112.75,10,7,3,478.014,0,0,Inactive
-1.4767,1.4013,-1.8815,1.9387,-2.6914,2.7809,-3.5267,3.646,-0.7601,1.5351,-1.5415,2.3643,-2.3437,3.2171,-3.1635,4.0808,-1.0863,1.1061,-1.9149,1.914,-2.758,2.7492,-3.608,3.6026,4.343,83.65,7,5,2,406.592,0,0,Inactive
-2.4163,1.4035,-2.5384,1.9595,-2.77,2.8057,-3.5268,3.6766,-0.7717,1.5354,-1.5492,2.3659,-2.3437,3.2208,-3.1635,4.0874,-1.0863,1.1136,-1.9149,1.9362,-2.758,2.7838,-3.608,3.6465,4.878,92.88,12,6,2,472.651,0,0,Inactive
-1.6176,1.3309,-1.9327,1.9429,-2.6933,2.8015,-3.5306,3.6795,-0.7902,1.5356,-1.586,2.3668,-2.3838,3.2233,-3.2026,4.0925,-1.0863,1.1308,-1.9149,1.9696,-2.7583,2.8294,-3.609,3.7011,4.43,78.1,7,6,1,483.678,0,0,Inactive
-1.4766,1.4015,-1.8819,1.9378,-2.6932,2.7834,-3.5305,3.6518,-0.7762,1.535,-1.5693,2.3641,-2.3788,3.2171,-3.2026,4.0814,-1.0863,1.1148,-1.9149,1.9346,-2.7583,2.7767,-3.609,3.6343,3.164,83.65,9,5,2,366.527,0,0,Inactive
-1.4767,1.4017,-1.882,1.9409,-2.6933,2.7877,-3.5305,3.6576,-0.7762,1.5353,-1.5693,2.3652,-2.3788,3.2193,-3.2026,4.0848,-1.0863,1.1156,-1.9149,1.9372,-2.7583,2.7813,-3.609,3.6408,3.397,86.89,10,6,2,449.661,0,0,Inactive
-1.4766,1.4017,-1.8886,1.9445,-2.7104,2.8125,-3.56,3.7016,-0.8059,1.5356,-1.6269,2.3679,-2.4606,3.2276,-3.3048,4.1015,-1.0866,1.1346,-1.9173,1.9868,-2.7651,2.8566,-3.6219,3.7377,6.737,108.95,11,5,2,494.767,0,0,Inactive
-1.4766,1.4017,-1.8886,1.9431,-2.7104,2.8105,-3.56,3.6989,-0.8059,1.5355,-1.6269,2.3676,-2.4606,3.2268,-3.3048,4.1001,-1.0866,1.1341,-1.9173,1.9854,-2.7651,2.8543,-3.6219,3.7346,6,108.95,13,5,2,468.729,0,0,Inactive
-2.3865,1.4103,-2.5272,2.0975,-2.7965,2.884,-3.5268,3.7251,-0.7763,1.5355,-1.5629,2.366,-2.3528,3.221,-3.1635,4.0879,-1.0863,1.1102,-1.9149,1.9302,-2.758,2.7785,-3.608,3.6429,2.807,102.11,11,7,2,460.596,0,0,Inactive
-2.401,1.4132,-2.534,2.0992,-2.7988,2.8669,-3.503,3.6649,-0.7753,1.5646,-1.5616,2.4015,-2.3513,3.2498,-3.1426,4.1023,-1.0823,1.0316,-1.9048,1.8219,-2.7366,2.6362,-3.5712,3.4631,2.633,96.56,13,8,1,483.675,0,0,Inactive
-1.8019,1.5408,-1.9514,2.0524,-2.7517,2.8649,-3.5918,3.74,-0.7757,1.5399,-1.5801,2.3778,-2.4022,3.2419,-3.2373,4.1188,-1.0813,1.0767,-1.912,1.9144,-2.7606,2.7826,-3.6177,3.665,1.078,132.94,12,9,1,526.725,0,0,Inactive
-2.2179,2.1769,-2.347,2.5684,-2.5461,3.2806,-3.0634,4.0478,-0.7746,1.2995,-1.5588,2.0189,-2.3459,2.8102,-3.1342,3.6267,-1.0181,1.0414,-1.6903,1.8344,-2.4401,2.6572,-3.2101,3.4897,1.293,80.23,4,7,1,353.378,0,0,Inactive
-2.3987,1.7451,-2.5268,2.1651,-2.7642,2.9184,-3.5881,3.7927,-0.7694,1.5457,-1.5617,2.3819,-2.3776,3.2483,-3.2097,4.128,-1.0815,1.4342,-1.9122,2.0552,-2.7604,2.8719,-3.6167,3.7404,4.913,98.36,11,9,0,490.578,0,2,Inactive
-2.2788,1.745,-2.4009,2.1623,-2.7513,2.8901,-3.5899,3.7635,-0.7709,1.545,-1.5609,2.3806,-2.3754,3.2458,-3.206,4.1241,-1.0815,1.4343,-1.9116,2.0591,-2.7591,2.8804,-3.6146,3.7478,5.796,89.13,10,8,0,539.448,0,3,Inactive
-2.2788,1.7451,-2.401,2.1613,-2.7522,2.8432,-3.5914,3.7117,-0.7814,1.5396,-1.5652,2.377,-2.3707,3.2405,-3.1976,4.1167,-1.0815,1.1184,-1.9117,1.9492,-2.7591,2.8087,-3.6145,3.6853,3.971,101.16,11,7,1,486.634,0,1,Inactive
-2.2788,2.2056,-2.401,2.5305,-2.752,3.0751,-3.5912,3.8352,-0.7752,2.4014,-1.5706,2.6739,-2.3843,3.2581,-3.2132,4.1267,-1.0815,1.1408,-1.9116,1.9767,-2.7589,2.839,-3.6143,3.7162,6.038,72.06,10,5,0,517.997,0,2,Inactive
-1.485,2.094,-1.9396,2.4955,-2.755,3.0269,-3.595,3.7581,-0.7757,1.5392,-1.5801,2.3755,-2.4022,3.2373,-3.2373,4.1117,-1.0812,1.0754,-1.9117,1.9106,-2.7602,2.7758,-3.6171,3.6551,0.901,128.67,4,7,1,384.479,0,0,Inactive
-2.785,1.2872,-3.0368,2.0445,-3.4253,2.9039,-3.9096,3.7818,-0.7694,1.5458,-1.5617,2.382,-2.3776,3.2482,-3.2097,4.1277,-1.0815,1.4342,-1.9122,2.0546,-2.7604,2.8706,-3.6167,3.7386,3.852,121.39,10,10,2,477.539,0,1,Inactive
-2.785,1.1049,-3.0368,1.9136,-3.4253,2.7763,-3.9095,3.6559,-0.7763,1.5393,-1.5702,2.3756,-2.3812,3.2372,-3.2074,4.1111,-1.0814,1.1577,-1.9112,1.9793,-2.758,2.8348,-3.6125,3.7057,4.454,95.09,8,6,2,495.439,0,2,Inactive
-2.2788,1.745,-2.4009,2.1612,-2.7525,2.8752,-3.5926,3.7507,-0.7805,2.3347,-1.5823,2.4701,-2.4015,3.2449,-3.2346,4.1213,-1.0814,1.1468,-1.9115,1.9932,-2.759,2.8606,-3.6146,3.7405,5.5,72.06,9,5,0,482.017,0,1,Inactive
-2.2788,1.7449,-2.4009,2.1603,-2.7536,2.8751,-3.5917,3.7407,-0.7667,1.5445,-1.5601,2.3784,-2.3743,3.2405,-3.2044,4.1146,-1.0811,1.4338,-1.9109,2.0448,-2.7581,2.8426,-3.6133,3.6969,4.366,89.13,10,8,0,426.535,0,2,Inactive
-2.3921,2.2133,-2.5191,2.5485,-2.7612,3.1375,-3.5886,3.9626,-0.7838,2.402,-1.5935,2.677,-2.4197,3.2717,-3.2579,4.1483,-1.0811,1.1429,-1.911,2.0095,-2.7587,2.8996,-3.6149,3.8006,5.367,87.33,8,7,1,571.98,0,1,Inactive
-2.3865,2.3403,-2.5271,2.7121,-2.7939,3.3065,-3.5754,4.0637,-0.7778,2.4013,-1.5673,2.671,-2.3608,3.0857,-3.1562,3.7889,-1.0296,1.0305,-1.7879,1.8306,-2.585,2.66,-3.3926,3.5011,1.625,90.19,8,8,1,437.422,0,0,Inactive
-2.4002,1.653,-2.5297,2.3727,-2.8244,3.2379,-3.6316,4.1478,-0.7676,1.381,-1.5879,2.2366,-2.4614,3.1582,-3.3446,4.0974,-0.9944,1.1069,-1.812,2.0306,-2.68,2.9727,-3.5619,3.9207,3.164,174.32,16,8,2,596.731,0,0,Inactive
-1.8084,1.9801,-2.0971,2.3894,-2.824,3.2191,-3.6316,4.1163,-0.7426,1.3779,-1.5879,2.2254,-2.4614,3.1375,-3.3446,4.0669,-0.9944,1.0983,-1.812,2.0118,-2.68,2.9435,-3.5619,3.8813,0.236,164.06,14,6,2,427.548,0,0,Inactive
-1.5605,1.9802,-2.0971,2.3942,-2.8241,3.2319,-3.6317,4.1386,-0.775,1.5417,-1.5879,2.3827,-2.4614,3.2625,-3.3446,4.1738,-1.1139,1.1258,-1.9448,2.0342,-2.7907,2.9727,-3.6439,3.9191,0.247,223.37,14,8,3,538.673,0,0,Inactive
-2.3865,1.6527,-2.5272,2.3696,-2.8242,3.2296,-3.6316,4.1343,-0.7763,1.3801,-1.5879,2.2327,-2.4614,3.1506,-3.3446,4.0859,-0.9944,1.1057,-1.812,2.0248,-2.68,2.9626,-3.5619,3.9065,1.456,174.32,20,8,2,590.768,0,0,Inactive
-2.3987,1.6524,-2.5266,2.3682,-2.8242,3.2287,-3.6316,4.1351,-0.7789,1.3798,-1.5879,2.2335,-2.4614,3.1532,-3.3446,4.0906,-0.9944,1.1302,-1.812,2.039,-2.68,2.9772,-3.5619,3.9228,3.486,155.86,15,6,2,564.733,0,0,Inactive
-2.3987,1.8184,-2.5266,2.3706,-2.8241,3.2252,-3.6314,4.1269,-0.761,1.3789,-1.5879,2.2295,-2.4614,3.1452,-3.3446,4.0782,-0.9944,1.1026,-1.812,2.0202,-2.68,2.9558,-3.5619,3.8975,2.293,153.06,14,6,1,489.619,0,1,Inactive
-2.3987,1.6524,-2.5266,2.3672,-2.8242,3.2254,-3.6316,4.1288,-0.761,1.3796,-1.5879,2.2315,-2.4614,3.1484,-3.3446,4.0827,-0.9944,1.1031,-1.812,2.0217,-2.68,2.9585,-3.5619,3.9014,1.692,165.09,15,7,2,544.699,0,0,Inactive
-2.3987,1.6524,-2.5266,2.368,-2.8242,3.2281,-3.6316,4.1341,-0.7645,1.3797,-1.5879,2.2331,-2.4614,3.1524,-3.3446,4.0892,-0.9944,1.1254,-1.812,2.0355,-2.68,2.9737,-3.5619,3.9188,3.207,155.86,16,6,2,564.733,0,0,Inactive
-2.2755,1.8184,-2.3961,2.3694,-2.824,3.223,-3.6314,4.1239,-0.7789,1.3784,-1.5879,2.2285,-2.4614,3.1439,-3.3446,4.0767,-0.9944,1.1249,-1.812,2.0278,-2.68,2.9614,-3.5619,3.9022,2.959,143.83,14,5,1,487.647,0,1,Inactive
-2.3865,1.6139,-2.5272,2.334,-2.8531,3.2003,-3.6862,4.1093,-0.8294,1.3761,-1.7074,2.2191,-2.6042,3.1314,-3.5092,4.0638,-0.9947,1.1466,-1.8214,2.0607,-2.7065,2.9966,-3.6082,3.9396,3.054,120.22,13,7,1,540.686,0,0,Inactive
-2.2216,2.1805,-2.3526,2.419,-2.8439,3.2914,-3.6672,4.2089,-0.832,1.3786,-1.7125,2.2261,-2.6112,3.1435,-3.518,4.0811,-0.9958,1.1267,-1.828,2.0483,-2.7178,2.9901,-3.6228,3.9387,1.903,164.54,16,10,2,584.651,0,0,Inactive
-2.3987,2.1769,-2.5268,2.4094,-2.8439,3.2854,-3.6672,4.2025,-0.832,1.3781,-1.7125,2.2251,-2.6112,3.142,-3.518,4.0791,-0.9958,1.1292,-1.828,2.0498,-2.7178,2.991,-3.6228,3.939,2.604,155.31,16,9,2,596.706,0,0,Inactive
-2.3987,2.1769,-2.5268,2.4091,-2.8439,3.285,-3.6672,4.2021,-0.832,1.3778,-1.7125,2.2247,-2.6112,3.1415,-3.518,4.0786,-0.9958,1.13,-1.828,2.0507,-2.7178,2.9919,-3.6228,3.9399,4.079,146.08,15,8,2,594.734,0,0,Inactive
-2.3549,1.612,-2.6122,2.3253,-2.9988,3.1861,-3.6852,4.0917,-0.826,1.3767,-1.7002,2.2197,-2.5939,3.1312,-3.4962,4.0627,-0.995,1.1668,-1.8181,2.079,-2.6988,3.0116,-3.5966,3.9521,4.104,131.53,12,5,2,558.704,0,0,Inactive
-2.3549,1.6118,-2.6122,2.3232,-2.9988,3.1806,-3.6852,4.0822,-0.826,1.3761,-1.7002,2.2163,-2.5939,3.124,-3.4962,4.0513,-0.995,1.1575,-1.8181,2.0651,-2.6988,2.9933,-3.5966,3.9294,3.198,131.53,12,5,2,510.66,0,0,Inactive
-2.3549,1.6121,-2.6122,2.3257,-2.9988,3.187,-3.6852,4.0931,-0.826,1.3768,-1.7002,2.2202,-2.5939,3.1321,-3.4962,4.0638,-0.995,1.1626,-1.8181,2.0756,-2.6988,3.0088,-3.5967,3.9497,4.424,131.53,12,5,2,558.704,0,0,Inactive
-2.3549,1.6119,-2.6122,2.3238,-2.9988,3.1818,-3.6852,4.0842,-0.826,1.3763,-1.7002,2.2171,-2.5939,3.1255,-3.4962,4.0536,-0.995,1.1581,-1.8181,2.0665,-2.6988,2.9954,-3.5966,3.9322,3.785,131.53,11,5,2,536.698,0,0,Inactive
