% Sales of Australian wine (thousands of litres)
% from Jan 1980 - 1980-07-01 1995. Data is sorted in
% time
@relation wine2

@attribute Fortified numeric
@attribute Dry-white numeric
@attribute Sweet-white numeric
@attribute Red numeric
@attribute Rose numeric
@attribute Sparkling numeric
@attribute Date date 'yyyy-MM-dd'

@data
2724,2903,125,1164,124,1846,1985-03-01
2954,2910,122,1205,93,1589,1985-04-01
4092,3782,120,1538,108,1896,1985-05-01
3470,2759,118,1513,75,1379,1985-06-01
3990,2931,281,1378,87,1645,1985-07-01
4239,3641,344,2083,103,2512,1985-08-01
2855,2794,366,1357,90,1771,1985-09-01
2897,3070,362,1536,108,3727,1985-10-01
3433,3576,580,1526,123,4388,1985-11-01
3307,4106,523,1376,129,5434,1985-12-01
1914,2452,348,779,57,1606,1986-01-01
2214,2206,246,1005,65,1523,1986-02-01
2320,2488,197,1193,67,1577,1986-03-01
2714,2416,306,1522,71,1605,1986-04-01
3633,2534,279,1539,76,1765,1986-05-01
3295,2521,280,1546,67,1403,1986-06-01
4377,3093,358,2116,110,2584,1986-07-01
4442,3903,431,2326,118,3318,1986-08-01
2774,2907,448,1596,99,1562,1986-09-01
2840,3025,433,1356,85,2349,1986-10-01
2828,3812,504,1553,107,3987,1986-11-01
3758,4209,579,1613,141,5891,1986-12-01
1610,2138,384,814,58,1389,1987-01-01
1968,2419,335,1150,65,1442,1987-02-01
2248,2622,320,1225,70,1548,1987-03-01
3262,2912,496,1691,86,1935,1987-04-01
3164,2708,448,1759,93,1518,1987-05-01
2972,2798,377,1754,74,1250,1987-06-01
4041,3254,523,2100,87,1847,1987-07-01
3402,2895,468,2062,73,1930,1987-08-01
2898,3263,428,2012,101,2638,1987-09-01
2555,3736,520,1897,100,3114,1987-10-01
3056,4077,493,1964,96,4405,1987-11-01
3717,4097,662,2186,157,7242,1987-12-01
1755,2175,304,966,63,1853,1988-01-01
2193,3138,308,1549,115,1779,1988-02-01
2198,2823,313,1538,70,2108,1988-03-01
2777,2498,328,1612,66,2336,1988-04-01
3076,2822,354,2078,67,1728,1988-05-01
3389,2738,338,2137,83,1661,1988-06-01
4231,4137,483,2907,79,2230,1988-07-01
3118,3515,355,2249,77,1645,1988-08-01
2524,3785,439,1883,102,2421,1988-09-01
2280,3632,290,1739,116,3740,1988-10-01
2862,4504,352,1828,100,4988,1988-11-01
3502,4451,454,1868,135,6757,1988-12-01
1558,2550,306,1138,71,1757,1989-01-01
1940,2867,303,1430,60,1394,1989-02-01
2226,3458,344,1809,89,1982,1989-03-01
2676,2961,254,1763,74,1650,1989-04-01
3145,3163,309,2200,73,1654,1989-05-01
3224,2880,310,2067,91,1406,1989-06-01
4117,3331,379,2503,86,1971,1989-07-01
3446,3062,294,2141,74,1968,1989-08-01
2482,3534,356,2103,87,2608,1989-09-01
2349,3622,318,1972,87,3845,1989-10-01
2986,4464,405,2181,109,4514,1989-11-01
3163,5411,545,2344,137,6694,1989-12-01
1651,2564,268,970,43,1720,1990-01-01
1725,2820,243,1199,69,1321,1990-02-01
2622,3508,273,1718,73,1859,1990-03-01
2316,3088,273,1683,77,1628,1990-04-01
2976,3299,236,2025,69,1615,1990-05-01
3263,2939,222,2051,76,1457,1990-06-01
3951,3320,302,2439,78,1899,1990-07-01
2917,3418,285,2353,70,1605,1990-08-01
2380,3604,309,2230,83,2424,1990-09-01
2458,3495,322,1852,65,3116,1990-10-01
2883,4163,362,2147,110,4286,1990-11-01
2579,4882,471,2286,132,6047,1990-12-01
1330,2211,198,1007,54,1902,1991-01-01
1686,3260,253,1665,55,2049,1991-02-01
2457,2992,173,1642,66,1874,1991-03-01
2514,2425,186,1518,65,1279,1991-04-01
2834,2707,185,1831,60,1432,1991-05-01
2757,3244,105,2207,65,1540,1991-06-01
3425,3965,228,2822,96,2214,1991-07-01
3006,3315,214,2393,55,1857,1991-08-01
2369,3333,189,2306,71,2408,1991-09-01
2017,3583,270,1785,63,3252,1991-10-01
2507,4021,277,2047,74,3627,1991-11-01
3168,4904,378,2171,106,6153,1991-12-01
1545,2252,185,1212,34,1577,1992-01-01
1643,2952,182,1335,47,1667,1992-02-01
2112,3573,258,2011,56,1993,1992-03-01
2415,3048,179,1860,53,1997,1992-04-01
2862,3059,197,1954,53,1783,1992-05-01
2822,2731,168,2152,55,1625,1992-06-01
3260,3563,250,2835,67,2076,1992-07-01
2606,3092,211,2224,52,1773,1992-08-01
2264,3478,260,2182,46,2377,1992-09-01
2250,3478,234,1992,51,3088,1992-10-01
2545,4308,305,2389,58,4096,1992-11-01
2856,5029,347,2724,91,6119,1992-12-01
1208,2075,203,891,33,1494,1993-01-01
1412,3264,217,1247,40,1564,1993-02-01
1964,3308,227,2017,46,1898,1993-03-01
2018,3688,242,2257,45,2121,1993-04-01
2329,3136,185,2255,41,1831,1993-05-01
2660,2824,175,2255,55,1515,1993-06-01
2923,3644,252,3057,57,2048,1993-07-01
2626,4694,319,3330,54,2795,1993-08-01
2132,2914,202,1896,46,1749,1993-09-01
1772,3686,254,2096,52,3339,1993-10-01
2526,4358,336,2374,48,4227,1993-11-01
2755,5587,431,2535,77,6410,1993-12-01
1154,2265,150,1041,30,1197,1994-01-01
1568,3685,280,1728,35,1968,1994-02-01
1965,3754,187,2201,42,1720,1994-03-01
2659,3708,279,2455,48,1725,1994-04-01
2354,3210,193,2204,44,1674,1994-05-01
2592,3517,227,2660,45,1693,1994-06-01
2714,3905,225,3670,?,2031,1994-07-01
2294,3670,205,2665,?,1495,1994-08-01
2416,4221,259,2639,46,2968,1994-09-01
2016,4404,254,2226,51,3385,1994-10-01
2799,5086,275,2586,63,3729,1994-11-01
2467,5725,394,2684,84,5999,1994-12-01
1153,2367,159,1185,30,1070,1995-01-01
1482,3819,230,1749,39,1402,1995-02-01
1818,4067,188,2459,45,1897,1995-03-01
2262,4022,195,2618,52,1862,1995-04-01
2612,3937,189,2585,28,1670,1995-05-01
2967,4365,220,3310,40,1688,1995-06-01
3179,4290,274,3923,62,2031,1995-07-01
